COUNTRY_OF_CITIZENSHIP,CERTIFIED,DENIED,WITHDRAWN,total,denial_rate_pct
INDIA,40771,1001,448,42220,2.4
CHINA,8159,221,112,8492,2.6
MEXICO,3701,795,53,4549,17.7
VIETNAM,3596,143,43,3782,3.8
PHILIPPINES,3160,271,27,3458,7.9
CANADA,2340,119,50,2509,4.8
BRAZIL,2185,246,35,2466,10.1
SOUTH KOREA,2067,120,33,2220,5.5
BANGLADESH,1360,242,10,1612,15.1
NEPAL,1397,77,9,1483,5.2
PAKISTAN,1227,131,9,1367,9.6
COLOMBIA,1108,67,9,1184,5.7
TAIWAN,827,24,10,861,2.8
VENEZUELA,739,77,8,824,9.4
NIGERIA,641,85,11,737,11.7
TURKEY,556,36,9,601,6.1
UNITED KINGDOM,547,40,9,596,6.8
SOUTH AFRICA,496,48,4,548,8.8
THAILAND,456,32,3,491,6.6
FRANCE,397,26,8,431,6.1
GHANA,331,90,8,429,21.4
JAMAICA,373,48,2,423,11.4
ITALY,359,25,8,392,6.5
KENYA,343,33,3,379,8.8
UKRAINE,347,29,1,377,7.7
AUSTRALIA,354,10,9,373,2.7
IRAN,338,26,1,365,7.1
RUSSIA,319,29,8,356,8.3
SPAIN,320,23,8,351,6.7
GERMANY,317,19,11,347,5.7
ARGENTINA,303,26,6,335,7.9
JAPAN,284,22,5,311,7.2
POLAND,268,21,3,292,7.3
PERU,200,20,1,221,9.1
EL SALVADOR,167,48,4,219,22.3
ZIMBABWE,189,26,2,217,12.1
ALBANIA,187,26,2,215,12.2
MONGOLIA,205,7,3,215,3.3
EGYPT,195,16,1,212,7.6
CAMBODIA,198,9,1,208,4.3
ECUADOR,175,22,2,199,11.2
GUATEMALA,180,9,4,193,4.8
LEBANON,171,20,1,192,10.5
JORDAN,168,6,4,178,3.4
HONDURAS,87,86,0,173,49.7
CHILE,158,11,4,173,6.5
IRELAND,159,6,5,170,3.6
ISRAEL,156,8,4,168,4.9
SRI LANKA,141,10,2,153,6.6
MALAYSIA,136,6,3,145,4.2
DOMINICAN REPUBLIC,114,19,1,134,14.3
ETHIOPIA,117,7,2,126,5.6
MACEDONIA,114,11,0,125,8.8
SINGAPORE,114,1,2,117,0.9
INDONESIA,102,5,1,108,4.7
HONG KONG,99,8,1,108,7.5
CAMEROON,85,21,2,108,19.8
UZBEKISTAN,89,19,0,108,17.6
ROMANIA,98,7,1,106,6.7
BELARUS,97,3,0,100,3.0
KAZAKHSTAN,87,11,1,99,11.2
COSTA RICA,90,6,2,98,6.2
GREECE,85,6,0,91,6.6
BURMA (MYANMAR),85,2,0,87,2.3
NETHERLANDS,76,7,2,85,8.4
UNITED STATES OF AMERICA,67,17,0,84,20.2
ARMENIA,73,5,0,78,6.4
PORTUGAL,63,6,1,70,8.7
HUNGARY,64,1,0,65,1.5
HAITI,48,14,0,62,22.6
SYRIA,58,3,1,62,4.9
SOMALIA,62,0,0,62,0.0
SERBIA,57,4,1,62,6.6
DEMOCRATIC REPUBLIC OF CONGO,60,0,0,60,0.0
UGANDA,46,10,0,56,17.9
SAUDI ARABIA,48,7,1,56,12.7
SWEDEN,48,5,1,54,9.4
GUYANA,40,12,0,52,23.1
TRINIDAD AND TOBAGO,45,4,1,50,8.2
BOLIVIA,45,3,1,49,6.2
MOROCCO,38,9,0,47,19.1
BELGIUM,44,2,0,46,4.3
SUDAN,42,2,1,45,4.5
NEW ZEALAND,42,0,0,42,0.0
GEORGIA,37,4,0,41,9.8
BULGARIA,38,2,1,41,5.0
AZERBAIJAN,37,1,0,38,2.6
MOLDOVA,34,2,0,36,5.6
RWANDA,33,3,0,36,8.3
AFGHANISTAN,29,4,1,34,12.1
PANAMA,31,2,0,33,6.1
ZAMBIA,21,10,0,31,32.3
BAHAMAS,25,4,1,30,13.8
TUNISIA,28,2,0,30,6.7
SWITZERLAND,26,2,0,28,7.1
TURKMENISTAN,25,3,0,28,10.7
LITHUANIA,23,2,1,26,8.0
ALGERIA,22,3,1,26,12.0
AUSTRIA,24,2,0,26,7.7
KYRGYZSTAN,24,1,0,25,4.0
NICARAGUA,21,4,0,25,16.0
TANZANIA,24,1,0,25,4.0
URUGUAY,21,0,1,22,0.0
IRAQ,18,4,0,22,18.2
CZECH REPUBLIC,17,3,0,20,15.0
FINLAND,19,1,0,20,5.0
GAMBIA,14,4,1,19,22.2
PALESTINE,16,3,0,19,15.8
SLOVAKIA,18,1,0,19,5.3
KOSOVO,12,5,0,17,29.4
PARAGUAY,16,0,0,16,0.0
NORWAY,14,2,0,16,12.5
LIBERIA,14,1,0,15,6.7
BELIZE,13,2,0,15,13.3
BURKINA FASO,14,1,0,15,6.7
YEMEN,14,1,0,15,6.7
LIBYA,15,0,0,15,0.0
BARBADOS,12,2,0,14,14.3
DENMARK,14,0,0,14,0.0
BOSNIA AND HERZEGOVINA,13,0,0,13,0.0
CROATIA,13,0,0,13,0.0
TAJIKISTAN,10,3,0,13,23.1
GRENADA,11,0,0,11,0.0
LAOS,11,0,0,11,0.0
BENIN,8,2,0,10,20.0
TOGO,9,1,0,10,10.0
MACAU,7,3,0,10,30.0
ESTONIA,8,1,0,9,11.1
ST LUCIA,7,2,0,9,22.2
CYPRUS,8,0,0,8,0.0
ANGOLA,8,0,0,8,0.0
SLOVENIA,7,1,0,8,12.5
LATVIA,7,1,0,8,12.5
NAMIBIA,7,0,0,7,0.0
MALAWI,6,1,0,7,14.3
UNITED ARAB EMIRATES,5,1,0,6,16.7
SENEGAL,5,0,1,6,0.0
DOMINICA,6,0,0,6,0.0
MONTENEGRO,6,0,0,6,0.0
FIJI,5,1,0,6,16.7
MADAGASCAR,5,0,0,5,0.0
PALESTINIAN TERRITORIES,4,0,0,4,0.0
BOTSWANA,4,0,0,4,0.0
MAURITANIA,3,1,0,4,25.0
ANTIGUA AND BARBUDA,4,0,0,4,0.0
MAURITIUS,4,0,0,4,0.0
ICELAND,4,0,0,4,0.0
SIERRA LEONE,3,1,0,4,25.0
BHUTAN,4,0,0,4,0.0
LESOTHO,3,1,0,4,25.0
ST KITTS AND NEVIS,3,1,0,4,25.0
SOUTH SUDAN,2,1,0,3,33.3
BURUNDI,3,0,0,3,0.0
COTE d'IVOIRE,3,0,0,3,0.0
NIGER,2,1,0,3,33.3
KUWAIT,3,0,0,3,0.0
BAHRAIN,3,0,0,3,0.0
LUXEMBOURG,3,0,0,3,0.0
MALI,2,0,0,2,0.0
SWAZILAND,2,0,0,2,0.0
GABON,2,0,0,2,0.0
MALTA,2,0,0,2,0.0
CUBA,1,1,0,2,50.0
GUINEA,2,0,0,2,0.0
EQUATORIAL GUINEA,2,0,0,2,0.0
MOZAMBIQUE,2,0,0,2,0.0
ANDORRA,1,0,0,1,0.0
SAMOA,0,1,0,1,100.0
VANUATU,1,0,0,1,0.0
QATAR,0,1,0,1,100.0
IVORY COAST,1,0,0,1,0.0
CHAD,0,1,0,1,100.0
ST VINCENT,0,1,0,1,100.0
